Time,outcome,Group
-10.00,1,1
-9.974792091307616,1,1
-9.771471770954097,-1,1
-9.16580736203303,-1,1
-8.70935976776854,1,1
-8.575773523296528,1,1
-8.5423698099822,-1,1
-8.319256469333698,-1,1
-7.48569259980446,-1,1
-7.245159987591057,1,1
-7.234434058535,-1,1
-7.057080860737084,-1,1
-6.734968738394249,1,1
-6.7126331453503045,1,1
-6.583680855020421,-1,1
-6.524314421815873,-1,1
-6.453518219797428,-1,1
-6.392262984730335,1,1
-6.234783211187166,-1,1
-6.185286026959945,2,1
-5.907469755000258,5,1
-5.886670875885798,-1,1
-5.807509180036558,8,1
-5.80057513049323,-1,1
-5.798152248524551,2,1
-5.583116960651262,-1,1
-5.320262009380544,1,1
-5.244218315408927,-1,1
-5.118613774363768,-1,1
-5.094935983151315,4,1
-4.579347117382657,1,1
-4.482589799700284,1,1
-4.34547698552138,2,1
-4.18910867801022,1,1
-3.9708506100960097,-1,1
-3.8010777961399818,-1,1
-3.7982277750726805,1,1
-3.6859512611624656,1,1
-3.6334343562513323,-1,1
-3.5064831536871326,-1,1
-3.50072201570204,-1,1
-3.4183253677996763,-1,1
-3.3240743285081433,4,1
-3.2541372875099506,-1,1
-3.1464011759278763,-1,1
-3.0825611549933223,-1,1
-3.0815885611069707,1,1
-2.983459306273037,1,1
-2.888830975434167,1,1
-2.8507801254440586,-1,1
-2.7795152551190427,1,1
-2.7375176171733564,1,1
-2.673965878192707,1,1
-2.6394326652560336,-1,1
-2.6188190643469187,1,1
-2.6025680107440183,-1,1
-2.573599729405044,1,1
-2.568267765479225,-1,1
-2.510979018281212,-1,1
-2.441102846739747,1,1
-2.441080281151965,-1,1
-2.2881914084136583,2,1
-2.283606864266413,-1,1
-2.2535874178004347,-1,1
-2.153545547419839,-1,1
-2.0977002719490137,-1,1
-2.0591059491803767,1,1
-1.9989117690347815,7,1
-1.9867245762633388,1,1
-1.9365813699844727,-1,1
-1.8914582613791542,3,1
-1.8864277519054489,1,1
-1.8365170477913215,1,1
-1.8291892728975914,-1,1
-1.7558517428552933,-1,1
-1.7511531161182896,-1,1
-1.6974137818267858,-1,1
-1.640654854954872,-1,1
-1.6392185219380693,1,1
-1.6227293628487827,1,1
-1.5384124228019358,3,1
-1.3411250648737267,1,1
-1.3348212440301395,1,1
-1.3083956915684685,-1,1
-1.2503653702638649,-1,1
-1.194676208620479,3,1
-1.1069266136522682,-1,1
-1.0682963094877276,-1,1
-1.0098747961484758,6,1
-0.985423264359954,1,1
-0.979861197452539,1,1
-0.9490523901018438,6,1
-0.8582099797009008,1,1
-0.7948573329680501,1,1
-0.6315508258195541,-1,1
-0.6157229566849465,1,1
-0.5669729041944185,1,1
-0.5373042843784778,1,1
-0.5343450939762978,8,1
-0.5082306686995466,1,1
-0.46418010805505505,1,1
-0.4344170983982346,-1,1
-0.4153987813597583,-1,1
-0.3971465888889424,-1,1
-0.3581544669634311,1,1
-0.32447469647996335,-1,1
-0.32049381050080133,1,1
-0.31563766458953446,1,1
-0.2665288451353576,-1,1
-0.2399167319340204,1,1
-0.2377384050705941,4,1
-0.22069617071939004,3,1
-0.19124392920584757,-1,1
-0.1448189598598512,-1,1
-0.10052057530543898,-1,1
-0.06373670905200703,-1,1
-0.04221972061592287,-1,1
-0.017101486446530072,1,1
0.0188862437669864,2,1
0.030391006572984724,8,1
0.11278215504805035,1,1
0.16141422058699728,-1,1
0.1678077820113472,1,1
0.23778926776915546,1,1
0.2908090110486402,1,1
0.3556906132488328,-1,1
0.3911528966617587,3,1
0.3927697524932515,-1,1
0.39582935709644373,2,1
0.4142476494153557,2,1
0.4541721404356788,2,1
0.45477401476689144,-1,1
0.46406122203811,1,1
0.5128609009720521,1,1
0.5926085636196182,-1,1
0.5957246523477174,3,1
0.6883836616159141,2,1
0.7623208440344704,1,1
0.7983921898248173,1,1
0.8151960127133115,-1,1
0.8808753534432089,-1,1
0.9325862318622127,-1,1
0.9360691987068951,-1,1
0.9485017795385333,-1,1
0.9599883639089304,-1,1
0.9961821760864766,6,1
1.002161737619236,-1,1
1.0885359657959226,1,1
1.0891715954010721,-1,1
